gender,sr_cit,tenure,phone_y_n,internet_type,mon_chg,churn
Female,0,1,0,DSL,29.85,0
Male,0,34,1,DSL,56.95,0
Male,0,2,1,DSL,53.85,1
Male,0,45,0,DSL,42.3,0
Female,0,2,1,Fiber optic,70.7,1
Female,0,8,1,Fiber optic,99.65,1
Male,0,22,1,Fiber optic,89.1,0
Female,0,10,0,DSL,29.75,0
Female,0,28,1,Fiber optic,104.8,1
Male,0,62,1,DSL,56.15,0
Male,0,13,1,DSL,49.95,0
Male,0,16,1,No,18.95,0
Male,0,58,1,Fiber optic,100.35,0
Male,0,49,1,Fiber optic,103.7,1
Male,0,25,1,Fiber optic,105.5,0
Female,0,69,1,Fiber optic,113.25,0
Female,0,52,1,No,20.65,0
Male,0,71,1,Fiber optic,106.7,0
Female,0,10,1,DSL,55.2,1
Female,0,21,1,Fiber optic,90.05,0
Male,1,1,0,DSL,39.65,1
Male,0,12,1,No,19.8,0
Male,0,1,1,No,20.15,1
Female,0,58,1,DSL,59.9,0
Male,0,49,1,DSL,59.6,0
Female,0,30,1,DSL,55.3,0
Male,0,47,1,Fiber optic,99.35,1
Male,0,1,0,DSL,30.2,1
Male,0,72,1,DSL,90.25,0
Female,0,17,1,DSL,64.7,1
Female,1,71,1,Fiber optic,96.35,0
Male,1,2,1,Fiber optic,95.5,0
Female,0,27,1,DSL,66.15,0
Male,0,1,1,No,20.2,0
Male,1,1,1,DSL,45.25,0
Female,0,72,1,Fiber optic,99.9,0
Male,0,5,1,Fiber optic,69.7,1
Female,0,46,1,Fiber optic,74.8,0
Male,0,34,1,Fiber optic,106.35,1
Female,0,11,1,Fiber optic,97.85,1
Male,0,10,1,DSL,49.55,0
Female,0,70,1,DSL,69.2,0
Female,0,17,1,No,20.75,0
Female,0,63,1,DSL,79.85,0
Female,0,13,1,DSL,76.2,0
Female,0,49,1,Fiber optic,84.5,0
Male,0,2,1,DSL,49.25,0
Female,0,2,1,Fiber optic,80.65,1
Male,0,52,1,DSL,79.75,0
Female,0,69,1,DSL,64.15,0
Female,1,43,1,Fiber optic,90.25,0
Female,0,15,1,Fiber optic,99.1,1
Female,1,25,1,DSL,69.5,0
Female,1,8,1,Fiber optic,80.65,1
Female,1,60,1,DSL,74.85,0
Male,1,18,1,Fiber optic,95.45,1
Female,0,63,1,Fiber optic,99.65,0
Male,1,66,1,Fiber optic,108.45,0
Female,0,34,1,No,24.95,0
Female,0,72,1,Fiber optic,107.5,0
Female,0,47,1,Fiber optic,100.5,0
Male,0,60,1,Fiber optic,89.9,0
Male,0,72,0,DSL,42.1,0
Female,0,18,1,DSL,54.4,0
Female,0,9,1,Fiber optic,94.4,1
Female,0,3,1,DSL,75.3,0
Male,0,47,1,Fiber optic,78.9,0
Female,0,31,1,DSL,79.2,0
Female,0,50,1,No,20.15,0
Male,0,10,1,Fiber optic,79.85,0
Male,0,1,1,DSL,49.05,0
Female,0,52,1,No,20.4,0
Male,1,64,1,Fiber optic,111.6,0
Male,0,62,1,No,24.25,0
Female,0,3,1,DSL,64.5,0
Female,1,56,1,Fiber optic,110.5,0
Female,0,46,1,DSL,55.65,0
Female,0,8,1,DSL,54.65,0
Male,1,30,1,DSL,74.75,0
Female,0,45,1,No,25.9,0
Female,0,1,1,Fiber optic,79.35,1
Female,0,11,0,DSL,50.55,0
Female,0,7,1,Fiber optic,75.15,1
Female,0,42,1,Fiber optic,103.8,0
